id,generous_model,harsh_model,baseline_grade,initial_generous_grade,initial_harsh_grade,final_generous_grade,final_harsh_grade,consensus_grade,actual_grade_0_15,actual_grade_0_100,rounds_used,converged,grade_difference
409,CHATGPT,CHATGPT,74,72,54,70,69,70,9.5,63.3,3,True,1
409,CLAUDE,CLAUDE,72,75,42,72,70,71,9.5,63.3,3,True,2
409,QWEN,QWEN,75,85,42,76,73,74,9.5,63.3,6,True,3
1375,CHATGPT,CHATGPT,78,72,58,66,65,66,10.0,66.7,3,True,1
1375,CLAUDE,CLAUDE,82,78,42,64,62,63,10.0,66.7,7,True,2
1375,QWEN,QWEN,77,87,42,73,72,72,10.0,66.7,8,True,1
1902,CHATGPT,CHATGPT,76,72,52,68,66,67,11.0,73.3,3,True,2
1902,CLAUDE,CLAUDE,77,78,45,15,12,14,11.0,73.3,8,True,3
1902,QWEN,QWEN,93,87,45,74,73,74,11.0,73.3,8,True,1
1558,CHATGPT,CHATGPT,70,72,55,66,65,66,9.0,60.0,3,True,1
1558,CLAUDE,CLAUDE,63,72,28,60,60,60,9.0,60.0,6,True,0
1558,QWEN,QWEN,60,85,45,72,70,71,9.0,60.0,8,True,2
1431,CHATGPT,CHATGPT,65,72,48,65,63,64,11.0,73.3,3,True,2
1431,CLAUDE,CLAUDE,70,72,32,6,4,5,11.0,73.3,8,True,2
1431,QWEN,QWEN,83,78,35,65,64,64,11.0,73.3,7,True,1
953,CHATGPT,CHATGPT,76,72,54,68,66,67,12.5,83.3,2,True,2
953,CLAUDE,CLAUDE,83,78,52,72,72,72,12.5,83.3,3,True,0
953,QWEN,QWEN,93,87,58,79,76,78,12.5,83.3,6,True,3
2247,CHATGPT,CHATGPT,95,72,52,63,63,63,10.5,70.0,3,True,0
2247,CLAUDE,CLAUDE,75,72,32,30,30,30,10.5,70.0,7,True,0
2247,QWEN,QWEN,92,85,35,68,65,66,10.5,70.0,5,True,3
1751,CHATGPT,CHATGPT,78,72,56,66,66,66,10.0,66.7,3,True,0
1751,CLAUDE,CLAUDE,76,72,32,59,59,59,10.0,66.7,6,True,0
1751,QWEN,QWEN,65,82,32,70,68,69,10.0,66.7,6,True,2
351,CHATGPT,CHATGPT,76,63,28,43,40,42,12.0,80.0,2,True,3
351,CLAUDE,CLAUDE,84,45,15,35,30,32,12.0,80.0,8,False,5
351,QWEN,QWEN,81,72,0,62,59,60,12.0,80.0,5,True,3
1808,CHATGPT,CHATGPT,69,65,50,63,63,63,9.5,63.3,3,True,0
1808,CLAUDE,CLAUDE,76,72,32,41,39,40,9.5,63.3,7,True,2
1808,QWEN,QWEN,78,85,35,68,65,66,9.5,63.3,5,True,3
669,CHATGPT,CHATGPT,92,70,58,67,66,66,9.5,63.3,3,True,1
669,CLAUDE,CLAUDE,85,78,45,8,5,6,9.5,63.3,7,True,3
669,QWEN,QWEN,86,87,52,76,76,76,9.5,63.3,7,True,0
441,CHATGPT,CHATGPT,87,75,62,68,66,67,13.0,86.7,2,True,2
441,CLAUDE,CLAUDE,82,78,42,68,68,68,13.0,86.7,5,True,0
441,QWEN,QWEN,94,87,52,76,74,75,13.0,86.7,6,True,2
1284,CHATGPT,CHATGPT,59,70,34,60,60,60,11.0,73.3,3,True,0
1284,CLAUDE,CLAUDE,52,72,35,61,61,61,11.0,73.3,6,True,0
1284,QWEN,QWEN,52,87,42,76,75,76,11.0,73.3,6,True,1
483,CHATGPT,CHATGPT,71,70,56,65,64,64,11.5,76.7,3,True,1
483,CLAUDE,CLAUDE,65,70,42,61,58,60,11.5,76.7,8,True,3
483,QWEN,QWEN,69,87,58,78,78,78,11.5,76.7,7,True,0
1310,CHATGPT,CHATGPT,45,70,45,63,61,62,6.5,43.3,3,True,2
1310,CLAUDE,CLAUDE,37,72,25,68,68,68,6.5,43.3,4,True,0
1310,QWEN,QWEN,49,85,35,63,62,62,6.5,43.3,7,True,1
1361,CHATGPT,CHATGPT,76,70,58,66,65,66,10.0,66.7,2,True,1
1361,CLAUDE,CLAUDE,85,72,28,70,69,70,10.0,66.7,4,True,1
